Group,Condition,Prime,Target,PrimeAudio,TargetAudio,Correct
praclist,R,vessle,vest.mp3,vessle.mp3,vest.mp3,J
praclist,UR,ruffle,people,ruffle.mp3,people.mp3,J
praclist,UR,burst,quad,burst.mp3,quad.mp3,J
praclist,UR,pint,normal,pint.mp3,normal.mp3,J
praclist,UR,middle,shunt,middle.mp3,shunt.mp3,J
praclist,UR,really,groom,really.mp3,groom.mp3,J
praclist,R,fluke,flute,fluke.mp3,flute.mp3,J
praclist,R,stark,starve,stark.mp3,starve.mp3,J
praclist,R,pins,pinch,pins.mp3,pinch.mp3,J
praclist,R,spite,spice,spite.mp3,spice.mp3,J
praclist,R,stoop,stook,stoop.mp3,stook.mp3,F
praclist,UR,choir,dwes,choir.mp3,dwes.mp3,F
praclist,UR,tumor,gank,tumor.mp3,gank.mp3,F
praclist,R,prep,pred,prep.mp3,pred.mp3,F
praclist,UR,funk,nilt,funk.mp3,nilt.mp3,F
praclist,UR,wand,hont,wand.mp3,hont.mp3,F
praclist,R,clan,claf,clan.mp3,claf.mp3,F
praclist,R,swam,swab,swam.mp3,swab.mp3,F
praclist,UR,fiber,lask,fiber.mp3,lask.mp3,F
praclist,R,arise,arike,arise.mp3,arike.mp3,F
